#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 02 08 00 55  40  2.2 99.0 99.00 99.00 99.00 999 1032.7  -6.0 999.0 999.0  0.3 99.00
2013 02 08 15 56   1  3.6 99.0  0.60 99.00 99.00 999 1025.6  -6.0 999.0 999.0  6.0 99.00
2013 02 08 19 10 350  2.2 99.0  0.30 99.00 99.00 999 1026.3  -4.0 999.0 999.0 99.0 99.00
2013 02 08 23 25 350  0.9 99.0  0.00 99.00 99.00 999 1027.7  -6.0 999.0 999.0  6.0 99.00
2013 02 09 13 10 315  4.0 99.0  0.30 99.00 99.00 999 1028.0 -14.0 999.0 999.0  6.0 99.00
2013 02 09 16 35 200  2.7 99.0  0.60 99.00 99.00 999 1026.0  -6.0 999.0 999.0  3.0 99.00
2013 02 09 19 00 220  2.2 99.0  0.60 99.00 99.00 999 1024.3  -3.0 999.0 999.0  3.0 99.00
2013 02 09 21 35 230  6.7 99.0  1.20 99.00 99.00 999 1022.6  -2.0 999.0 999.0  6.0 99.00
2013 02 10 14 50 140  6.7 99.0  1.20 99.00 99.00 999 1015.8 999.0 999.0 999.0  3.0 99.00
2013 02 10 19 10 120  6.7 99.0 99.00 99.00 99.00 999 1009.0   1.0 999.0 999.0  3.0 99.00
2013 02 10 22 00 120  8.9 99.0 99.00 99.00 99.00 999  999.9   1.0 999.0 999.0  3.0 99.00
2013 02 11 01 00 180  6.7 99.0  0.90 99.00 99.00 999  999.2   2.0 999.0 999.0  6.0 99.00
2013 02 11 13 06 250  4.0 99.0  0.60 99.00 99.00 999  993.5   1.0 999.0 999.0  6.0 99.00
2013 02 11 19 00 280  6.7 99.0  0.30 99.00 99.00 999 1003.6   2.0 999.0 999.0  6.0 99.00
2013 02 11 23 00 300  6.7 99.0 99.00 99.00 99.00 999 1004.3   1.0 999.0 999.0  6.0 99.00
2013 02 12 00 50 300  6.7 99.0 99.00 99.00 99.00 999 1007.3  -1.0 999.0 999.0  3.0 99.00
2013 02 12 12 50 300  0.9 99.0 99.00 99.00 99.00 999 1014.1  -4.0 999.0 999.0  6.0 99.00
2013 02 12 15 55 240  2.7 99.0 99.00 99.00 99.00 999 1014.8  -4.0 999.0 999.0  6.0 99.00
2013 02 12 19 10 240  2.7 99.0  0.00 99.00 99.00 999 1014.1  -4.0 999.0 999.0  6.0 99.00
2013 02 12 22 55 230  4.5 99.0 99.00 99.00 99.00 999 1012.4  -3.0 999.0 999.0  6.0 99.00
2013 02 13 00 45 230  1.8 99.0 99.00 99.00 99.00 999 1012.4  -6.0 999.0 999.0  3.0 99.00
2013 02 13 03 55 210  2.2 99.0  0.00 99.00 99.00 999 1012.1  -6.0 999.0 999.0  3.0 99.00
2013 02 13 13 10 220  1.3 99.0  0.00 99.00 99.00 999 1006.0  -6.0 999.0 999.0  6.0 99.00
2013 02 13 19 40 210  3.1 99.0  0.30 99.00 99.00 999 1004.3   1.0 999.0 999.0  3.0 99.00
2013 02 13 21 50 200  2.2 99.0  0.30 99.00 99.00 999 1004.3   1.0 999.0 999.0  3.0 99.00
2013 02 14 00 55 220  1.8 99.0  0.60 99.00 99.00 999 1004.6  -1.0 999.0 999.0  6.0 99.00
2013 02 14 12 55  30  1.3 99.0  0.30 99.00 99.00 999 1002.3   0.0 999.0 999.0  1.0 99.00
2013 02 14 16 00  35  4.9 99.0  0.30 99.00 99.00 999 1002.3  -1.0 999.0 999.0  1.0 99.00
2013 02 14 18 55 350  2.7 99.0  0.60 99.00 99.00 999 1003.3  -1.0 999.0 999.0  6.0 99.00
2013 02 15 01 00 350  2.2 99.0  0.30 99.00 99.00 999 1015.5  -4.0 999.0 999.0 99.0 99.00
2013 02 15 13 00 310  1.8 99.0  0.30 99.00 99.00 999 1017.2 -13.0 999.0 999.0  6.0 99.00
2013 02 15 15 35 300  4.0 99.0  0.30 99.00 99.00 999 1019.9  -8.0 999.0 999.0  6.0 99.00
2013 02 15 18 45 340  2.7 99.0  0.30 99.00 99.00 999 1019.5  -6.0 999.0 999.0  6.0 99.00
2013 02 15 21 50 280  1.8 99.0 99.00 99.00 99.00 999 1019.2  -6.0 999.0 999.0  6.0 99.00
2013 02 16 00 45 300  1.8 99.0  0.30 99.00 99.00 999 1019.5  -7.0 999.0 999.0  6.0 99.00
2013 02 16 12 55 300  3.1 99.0  0.00 99.00 99.00 999 1019.2 -16.0 999.0 999.0  6.0 99.00
2013 02 16 15 50  10 99.0 99.0  0.30 99.00 99.00 999 1019.2 -12.0 999.0 999.0  6.0 99.00
2013 02 16 18 40 310  7.2 99.0  0.30 99.00 99.00 999 1019.2  -8.0 999.0 999.0  6.0 99.00
2013 02 16 21 55 320  2.2 99.0  0.00 99.00 99.00 999 1019.2  -8.0 999.0 999.0 99.0 99.00
2013 02 17 00 50 320  1.8 99.0 99.00 99.00 99.00 999 1020.9 -13.0 999.0 999.0  0.3 99.00
2013 02 17 13 10 300  4.0 99.0  0.00 99.00 99.00 999 1022.2 -19.0 999.0 999.0  3.0 99.00
2013 02 17 15 55 310  3.6 99.0  0.00 99.00 99.00 999 1022.6 -12.0 999.0 999.0  6.0 99.00
2013 02 17 18 55 170  3.6 99.0  0.00 99.00 99.00 999 1021.9  -8.0 999.0 999.0  6.0 99.00
2013 02 17 21 55 180  4.5 99.0  0.30 99.00 99.00 999 1019.2  -8.0 999.0 999.0  6.0 99.00
2013 02 18 00 55 290  2.2 99.0  0.00 99.00 99.00 999 1019.2  -9.0 999.0 999.0  6.0 99.00
2013 02 18 12 55 170 10.7 99.0  1.20 99.00 99.00 999 1008.4  -1.0 999.0 999.0  6.0 99.00
